,RMSE,MAE,MAP@10,Precision@10,Recall@10,NDCG@10,HitRate@10,Coverage
MostPopular,,,0.008291534391534391,0.0041333333333333335,0.022394444444444446,0.013345405517460137,0.03933333333333333,0.010192589255546796
Baseline,0.9840786820008522,0.7744179774419897,0.003924717813051146,0.0017666666666666668,0.009786111111111112,0.005946850539227012,0.017,0.03513909224011713
FunkSVD,0.9224692440551265,0.715251881077447,0.0055191953262786605,0.0034333333333333334,0.017208333333333332,0.00985209357578965,0.03166666666666667,0.09978601193828134
SVD++,0.9105755493174328,0.7032831349650498,0.009306624779541446,0.0051666666666666675,0.025675000000000003,0.015560082472443658,0.048666666666666664,0.17180988850095733
Ensemble,0.9093296786401065,0.701807160397825,0.009484541446208113,0.004900000000000001,0.024247222222222226,0.015421495294854528,0.04566666666666667,0.12456357697938956
BPR,,,0.013114664902998239,0.006666666666666667,0.03554444444444444,0.021410944001110266,0.06366666666666666,0.0626759770244397
Hybrid,,,0.020791785714285714,0.011266666666666666,0.05906666666666666,0.03490609940442202,0.10633333333333334,0.07900664489244284
